imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0293342,Lajja,2001,19-Sep-01,Drama | Musical | Crime,Ranjit Kapoor (dialogue) | Ashok Rawat (associate script) | Rajkumar Santoshi (dialogue) | Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story),416,Uday Chopra,44,Raj Kanwar,0,2
tt0294662,Kaante,2002,20-Dec-02,Action | Crime | Drama,Sanjay Gupta | Vinay | Yash | Milap Zaveri (dialogue),417,Aditya Roy Kapoor,45,Anurag Kashyap,0,3
tt0295603,Shirdi Sai Baba,2001,7-Sep-01,Drama | Mystery,Pandurang Dixit | Vikas Kapoor (story),418,Ritesh Deshmukh,46,Krishna D.K.,0,1
tt0296535,Bollywood Bound,2003,14-Jan-03,Documentary,N/A,419,Rishi Kapoor,47,Vikram Bhatt,0,1
tt0296574,Company,2002,15-Apr-02,Action | Crime | Thriller,Jaideep Sahni,420,Kangana Ranaut,48,Dibakar Banerjee,0,4
tt0297983,Ittefaq,2001,14-Sep-01,Action | Drama | Thriller,Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics),421,Dia Mirza,49,Shashilal K. Nair,0,1
tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001,12-Oct-01,Comedy | Drama,Priyadarshan (story) | Neeraj Vora (dialogue) | Neeraj Vora (screenplay),422,Amrish Puri,50,Rohan Sippy,0,2
tt0298607,Yeh Zindagi Ka Safar,2001,16-Nov-01,Drama,Gajra Kottary,423,Amrita Rao,51,Sangeeth Sivan,0,1
tt0299108,Rehnaa Hai Terre Dil Mein,2001,19-Oct-01,Musical,Gautham Menon (story) | Vipul D. Shah (dialogue) | Vipul D. Shah (story),424,Lara Dutta,52,Rajkumar Santoshi,0,2
tt0300028,Indian,2001,26-Oct-01,Action | Crime | Drama,Sanjay Masoom (dialogue),425,Om Puri,53,Sagar Ballary,0,6
tt0301179,Deewaanapan,2001,16-Nov-01,Romance |Drama,Rajesh Singh (dialogue script),426,Kiron Kher,54,Habib Faisal,0,2
tt0301240,Moksha: Salvation,2001,30-Nov-01,Drama | Thriller,Hriday Lani (dialogues) | Raj Marbros (screenplay) | Ashok Mehta (story),427,Mallika Sherawat,55,Satish Kaushik,0,1
tt0301250,Tera Mera Saath Rahen,2001,7-Nov-01,Drama,Deepak Kulkarni (dialogue) | Mahesh Manjrekar (screenplay) | Sameer (lyrics),428,Sonu Sood,56,Sujoy Ghosh,0,1
tt0302524,Ehsaas: The Feeling,2001,30-Nov-01,Drama,Deepak Kulkarni,429,Nana Patekar,57,Deepak S. Shivdasani,0,1
tt0303187,Veer Savarkar,2001,N/A,Biography | Drama,Ved Rahi,430,Vinod Khanna,58,Milind Ukey,0,1
tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001,21-Dec-01,Comedy,Anwar Khan (dialogue) | V. Shekhar (story),431,Kalki Koechlin,59,Dev Anand,0,3
tt0305455,Pitaah,2002,4-Jan-02,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Mahesh Manjrekar | K.K. Singh (dialogue) | Teja (screenplay) | Teja (story),432,Rani Mukerji,60,Raj Nidimoru,0,2
tt0306434,Aankhen,2002,27-Mar-02,Comedy | Thriller | Crime,Shobhana Desai (play) | Aatish Kapadia (screenplay) | Aatish Kapadia (story) | Aatish Kapadia | Vipul Amrutlal Shah (screenplay) | Vipul Amrutlal Shah (story),433,Rajkummar Rao,61,Kookie V. Gulati,0,4
tt0306840,Koi Mere Dil Se Poochhe,2002,11-Jan-02,Musical | Romance | Thriller,N/A,434,Tusshar Kapoor,62,Mani Shankar,0,2
tt0306855,Style,2001,28-Dec-01,Musical | Comedy,N. Chandra,435,Arjun Rampal,63,Nikhil Advani,0,5
tt0307116,Maa Tujhhe Salaam,2002,25-Jan-02,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Tinnu Verma (story),436,Paresh Rawal,64,Pradeep Sarkar,0,3
